Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Successful Take-On %,61.1%,76,2022-2023,2022-2023 Champions League,623.0
Times Tackled During Take-On,0.72,34,2022-2023,2022-2023 Champions League,623.0
Tackled During Take-On Percentage,27.8%,65,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Carries,89.28,99,2022-2023,2022-2023 Champions League,623.0
Total Carrying Distance,463.15,99,2022-2023,2022-2023 Champions League,623.0
Progressive Carrying Distance,223.77,99,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Progressive Carries,1.73,65,2022-2023,2022-2023 Champions League,623.0
Carries into Final Third,3.32,93,2022-2023,2022-2023 Champions League,623.0
Carries into Penalty Area,0.00,26,2022-2023,2022-2023 Champions League,623.0
Miscontrols,0.58,85,2022-2023,2022-2023 Champions League,623.0
Dispossessed,1.30,23,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Passes Received,84.37,99,2022-2023,2022-2023 Champions League,623.0
Progressive Passes Rec,1.73,41,2022-2023,2022-2023 Champions League,623.0
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats,2022-2023,2022-2023 Champions League,623.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Champions League,623.0
Yellow Cards,0.58,8,2022-2023,2022-2023 Champions League,623.0
Red Cards,0.00,52,2022-2023,2022-2023 Champions League,623.0
Second Yellow Card,0.00,51,2022-2023,2022-2023 Champions League,623.0
Fouls Committed,1.44,38,2022-2023,2022-2023 Champions League,623.0
Fouls Drawn,2.31,91,2022-2023,2022-2023 Champions League,623.0
Offsides,0.00,62,2022-2023,2022-2023 Champions League,623.0
Crosses,0.14,21,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Interceptions,0.87,37,2022-2023,2022-2023 Champions League,623.0
Tackles Won,2.60,97,2022-2023,2022-2023 Champions League,623.0
Penalty Kicks Won,0.00,48,2022-2023,2022-2023 Champions League,623.0
Penalty Kicks Conceded,0.14,5,2022-2023,2022-2023 Champions League,623.0
Own Goals,0.00,50,2022-2023,2022-2023 Champions League,623.0
Ball Recoveries,7.51,74,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Aerials Won,0.72,50,2022-2023,2022-2023 Champions League,623.0
Aerials Lost,0.29,82,2022-2023,2022-2023 Champions League,623.0
% of Aerials Won,71.4%,82,2022-2023,2022-2023 Champions League,623.0
Goals,0.00,13,2022-2023,2022-2023 Ligue 1,2194.0
Assists,0.00,12,2022-2023,2022-2023 Ligue 1,2194.0
Goals + Assists,0.00,7,2022-2023,2022-2023 Ligue 1,2194.0
Non-Penalty Goals,0.00,13,2022-2023,2022-2023 Ligue 1,2194.0
Penalty Kicks Made,0.00,42,2022-2023,2022-2023 Ligue 1,2194.0
Penalty Kicks Attempted,0.00,41,2022-2023,2022-2023 Ligue 1,2194.0
Yellow Cards,0.41,4,2022-2023,2022-2023 Ligue 1,2194.0
Red Cards,0.04,13,2022-2023,2022-2023 Ligue 1,2194.0
xG: Expected Goals,0.03,12,2022-2023,2022-2023 Ligue 1,2194.0
npxG: Non-Penalty xG,0.03,14,2022-2023,2022-2023 Ligue 1,2194.0
xAG: Exp. Assisted Goals,0.10,52,2022-2023,2022-2023 Ligue 1,2194.0
npxG + xAG,0.14,33,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Carries,1.64,49,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Passes,10.75,99,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Passes Rec,2.13,35,2022-2023,2022-2023 Ligue 1,2194.0
Shooting,Shooting,Shooting,2022-2023,2022-2023 Ligue 1,2194.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Ligue 1,2194.0
Goals,0.00,13,2022-2023,2022-2023 Ligue 1,2194.0
Shots Total,0.33,4,2022-2023,2022-2023 Ligue 1,2194.0
Shots on Target,0.16,18,2022-2023,2022-2023 Ligue 1,2194.0
Shots on Target %,50.0%,94,2022-2023,2022-2023 Ligue 1,2194.0
Goals/Shot,0.00,13,2022-2023,2022-2023 Ligue 1,2194.0
Goals/Shot on Target,0.00,13,2022-2023,2022-2023 Ligue 1,2194.0
Average Shot Distance,17.80,76,2022-2023,2022-2023 Ligue 1,2194.0
Shots from Free Kicks,0.00,31,2022-2023,2022-2023 Ligue 1,2194.0
Penalty Kicks Made,0.00,42,2022-2023,2022-2023 Ligue 1,2194.0
Penalty Kicks Attempted,0.00,41,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
xG: Expected Goals,0.03,12,2022-2023,2022-2023 Ligue 1,2194.0
npxG: Non-Penalty xG,0.03,14,2022-2023,2022-2023 Ligue 1,2194.0
npxG/Shot,0.10,75,2022-2023,2022-2023 Ligue 1,2194.0
Goals - xG,-0.03,39,2022-2023,2022-2023 Ligue 1,2194.0
Non-Penalty Goals - npxG,-0.03,39,2022-2023,2022-2023 Ligue 1,2194.0
Passing,Passing,Passing,2022-2023,2022-2023 Ligue 1,2194.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Ligue 1,2194.0
Passes Completed,97.75,99,2022-2023,2022-2023 Ligue 1,2194.0
Passes Attempted,105.55,99,2022-2023,2022-2023 Ligue 1,2194.0
Pass Completion %,92.6%,99,2022-2023,2022-2023 Ligue 1,2194.0
Total Passing Distance,1496.03,99,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Passing Distance,513.42,99,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Passes Completed (Short),51.89,99,2022-2023,2022-2023 Ligue 1,2194.0
Passes Attempted (Short),54.68,99,2022-2023,2022-2023 Ligue 1,2194.0
Pass Completion % (Short),94.9%,99,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Passes Completed (Medium),34.79,99,2022-2023,2022-2023 Ligue 1,2194.0
Passes Attempted (Medium),36.75,99,2022-2023,2022-2023 Ligue 1,2194.0
Pass Completion % (Medium),94.6%,96,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Passes Completed (Long),6.28,82,2022-2023,2022-2023 Ligue 1,2194.0
Passes Attempted (Long),8.00,74,2022-2023,2022-2023 Ligue 1,2194.0
Pass Completion % (Long),78.5%,86,2022-2023,2022-2023 Ligue 1,2194.0
Assists,0.00,12,2022-2023,2022-2023 Ligue 1,2194.0
xAG: Exp. Assisted Goals,0.10,52,2022-2023,2022-2023 Ligue 1,2194.0
xA: Expected Assists,0.20,90,2022-2023,2022-2023 Ligue 1,2194.0
Key Passes,1.35,70,2022-2023,2022-2023 Ligue 1,2194.0
Passes into Final Third,9.11,98,2022-2023,2022-2023 Ligue 1,2194.0
Passes into Penalty Area,2.26,97,2022-2023,2022-2023 Ligue 1,2194.0
Crosses into Penalty Area,0.12,46,2022-2023,2022-2023 Ligue 1,2194.0
Progressive Passes,10.75,99,2022-2023,2022-2023 Ligue 1,2194.0
Pass Types,Pass Types,Pass Types,2022-2023,2022-2023 Ligue 1,2194.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Ligue 1,2194.0
Passes Attempted,105.55,99,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Live-ball Passes,100.26,99,2022-2023,2022-2023 Ligue 1,2194.0
Dead-ball Passes,5.05,87,2022-2023,2022-2023 Ligue 1,2194.0
Passes from Free Kicks,4.06,97,2022-2023,2022-2023 Ligue 1,2194.0
Through Balls,0.70,99,2022-2023,2022-2023 Ligue 1,2194.0
Switches,0.08,9,2022-2023,2022-2023 Ligue 1,2194.0
Crosses,0.29,17,2022-2023,2022-2023 Ligue 1,2194.0
Throw-ins Taken,0.94,89,2022-2023,2022-2023 Ligue 1,2194.0
Corner Kicks,0.04,43,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Inswinging Corner Kicks,0.00,27,2022-2023,2022-2023 Ligue 1,2194.0
Outswinging Corner Kicks,0.00,28,2022-2023,2022-2023 Ligue 1,2194.0
Straight Corner Kicks,0.00,48,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Passes Completed,97.75,99,2022-2023,2022-2023 Ligue 1,2194.0
Passes Offside,0.25,30,2022-2023,2022-2023 Ligue 1,2194.0
Passes Blocked,0.70,74,2022-2023,2022-2023 Ligue 1,2194.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2022-2023,2022-2023 Ligue 1,2194.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Ligue 1,2194.0
Shot-Creating Actions,3.40,78,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
SCA (Live-ball Pass),3.20,99,2022-2023,2022-2023 Ligue 1,2194.0
SCA (Dead-ball Pass),0.08,56,2022-2023,2022-2023 Ligue 1,2194.0
SCA (Take-On),0.04,32,2022-2023,2022-2023 Ligue 1,2194.0
SCA (Shot),0.04,20,2022-2023,2022-2023 Ligue 1,2194.0
SCA (Fouls Drawn),0.00,13,2022-2023,2022-2023 Ligue 1,2194.0
SCA (Defensive Action),0.04,50,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Goal-Creating Actions,0.37,75,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
GCA (Live-ball Pass),0.33,90,2022-2023,2022-2023 Ligue 1,2194.0
GCA (Dead-ball Pass),0.00,39,2022-2023,2022-2023 Ligue 1,2194.0
GCA (Take-On),0.00,38,2022-2023,2022-2023 Ligue 1,2194.0
GCA (Shot),0.00,34,2022-2023,2022-2023 Ligue 1,2194.0
GCA (Fouls Drawn),0.00,35,2022-2023,2022-2023 Ligue 1,2194.0
GCA (Defensive Action),0.04,95,2022-2023,2022-2023 Ligue 1,2194.0
Defense,Defense,Defense,2022-2023,2022-2023 Ligue 1,2194.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Ligue 1,2194.0
Tackles,3.12,88,2022-2023,2022-2023 Ligue 1,2194.0
Tackles Won,2.01,94,2022-2023,2022-2023 Ligue 1,2194.0
Tackles (Def 3rd),1.39,87,2022-2023,2022-2023 Ligue 1,2194.0
Tackles (Mid 3rd),1.48,91,2022-2023,2022-2023 Ligue 1,2194.0
Tackles (Att 3rd),0.25,39,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Dribblers Tackled,1.56,91,2022-2023,2022-2023 Ligue 1,2194.0
Dribbles Challenged,3.65,91,2022-2023,2022-2023 Ligue 1,2194.0
% of Dribblers Tackled,42.7%,54,2022-2023,2022-2023 Ligue 1,2194.0
Challenges Lost,2.09,9,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Blocks,1.72,90,2022-2023,2022-2023 Ligue 1,2194.0
Shots Blocked,0.25,68,2022-2023,2022-2023 Ligue 1,2194.0
Passes Blocked,1.48,91,2022-2023,2022-2023 Ligue 1,2194.0
,,,2022-2023,2022-2023 Ligue 1,2194.0
Interceptions,1.11,54,2022-2023,2022-2023 Ligue 1,2194.0
Tkl+Int,4.23,81,2022-2023,2022-2023 Ligue 1,2194.0
Clearances,0.45,21,2022-2023,2022-2023 Ligue 1,2194.0
Errors,0.12,4,2022-2023,2022-2023 Ligue 1,2194.0
Possession,Possession,Possession,2022-2023,2022-2023 Ligue 1,2194.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Ligue 1,2194.0
Touches,114.16,99,2022-2023,2022-2023 Ligue 1,2194.0
Touches (Def Pen),2.83,85,2022-2023,2022-2023 Ligue 1,2194.0
Touches (Def 3rd),21.62,95,2022-2023,2022-2023 Ligue 1,2194.0
Touches (Mid 3rd),71.50,99,2022-2023,2022-2023 Ligue 1,2194.0
Touches (Att 3rd),22.07,85,2022-2023,2022-2023 Ligue 1,2194.0
Touches (Att Pen),1.07,39,2022-2023,2022-2023 Ligue 1,2194.0
