Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
,,,2021-2022,2021 UEFA Euro 2020,397.0
SCA (Live-ball Pass),4.99,99,2021-2022,2021 UEFA Euro 2020,397.0
SCA (Dead-ball Pass),0.45,83,2021-2022,2021 UEFA Euro 2020,397.0
SCA (Take-On),0.23,78,2021-2022,2021 UEFA Euro 2020,397.0
SCA (Shot),0.23,76,2021-2022,2021 UEFA Euro 2020,397.0
SCA (Fouls Drawn),0.23,83,2021-2022,2021 UEFA Euro 2020,397.0
SCA (Defensive Action),0.23,89,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Goal-Creating Actions,0.68,91,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
GCA (Live-ball Pass),0.00,28,2021-2022,2021 UEFA Euro 2020,397.0
GCA (Dead-ball Pass),0.23,98,2021-2022,2021 UEFA Euro 2020,397.0
GCA (Take-On),0.00,46,2021-2022,2021 UEFA Euro 2020,397.0
GCA (Shot),0.23,98,2021-2022,2021 UEFA Euro 2020,397.0
GCA (Fouls Drawn),0.23,98,2021-2022,2021 UEFA Euro 2020,397.0
GCA (Defensive Action),0.00,50,2021-2022,2021 UEFA Euro 2020,397.0
Defense,Defense,Defense,2021-2022,2021 UEFA Euro 2020,397.0
Statistic,Per 90,Percentile,2021-2022,2021 UEFA Euro 2020,397.0
Tackles,4.08,99,2021-2022,2021 UEFA Euro 2020,397.0
Tackles Won,2.04,91,2021-2022,2021 UEFA Euro 2020,397.0
Tackles (Def 3rd),1.36,91,2021-2022,2021 UEFA Euro 2020,397.0
Tackles (Mid 3rd),2.49,99,2021-2022,2021 UEFA Euro 2020,397.0
Tackles (Att 3rd),0.23,54,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Dribblers Tackled,1.13,83,2021-2022,2021 UEFA Euro 2020,397.0
Dribbles Challenged,2.49,69,2021-2022,2021 UEFA Euro 2020,397.0
% of Dribblers Tackled,45.5%,61,2021-2022,2021 UEFA Euro 2020,397.0
Challenges Lost,1.36,34,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Blocks,1.13,66,2021-2022,2021 UEFA Euro 2020,397.0
Shots Blocked,0.23,54,2021-2022,2021 UEFA Euro 2020,397.0
Passes Blocked,0.91,63,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Interceptions,1.36,64,2021-2022,2021 UEFA Euro 2020,397.0
Tkl+Int,5.44,98,2021-2022,2021 UEFA Euro 2020,397.0
Clearances,0.45,29,2021-2022,2021 UEFA Euro 2020,397.0
Errors,0.00,53,2021-2022,2021 UEFA Euro 2020,397.0
Possession,Possession,Possession,2021-2022,2021 UEFA Euro 2020,397.0
Statistic,Per 90,Percentile,2021-2022,2021 UEFA Euro 2020,397.0
Touches,108.14,98,2021-2022,2021 UEFA Euro 2020,397.0
Touches (Def Pen),1.81,54,2021-2022,2021 UEFA Euro 2020,397.0
Touches (Def 3rd),15.42,84,2021-2022,2021 UEFA Euro 2020,397.0
Touches (Mid 3rd),63.48,98,2021-2022,2021 UEFA Euro 2020,397.0
Touches (Att 3rd),30.15,98,2021-2022,2021 UEFA Euro 2020,397.0
Touches (Att Pen),2.04,84,2021-2022,2021 UEFA Euro 2020,397.0
Touches (Live-Ball),108.14,98,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Take-Ons Attempted,1.81,69,2021-2022,2021 UEFA Euro 2020,397.0
Successful Take-Ons,1.13,73,2021-2022,2021 UEFA Euro 2020,397.0
Successful Take-On %,62.5%,49,2021-2022,2021 UEFA Euro 2020,397.0
Times Tackled During Take-On,0.68,34,2021-2022,2021 UEFA Euro 2020,397.0
Tackled During Take-On Percentage,37.5%,49,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Carries,69.37,98,2021-2022,2021 UEFA Euro 2020,397.0
Total Carrying Distance,293.35,91,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Carrying Distance,172.97,96,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Carries,1.59,61,2021-2022,2021 UEFA Euro 2020,397.0
Carries into Final Third,5.21,98,2021-2022,2021 UEFA Euro 2020,397.0
Carries into Penalty Area,0.45,83,2021-2022,2021 UEFA Euro 2020,397.0
Miscontrols,1.59,33,2021-2022,2021 UEFA Euro 2020,397.0
Dispossessed,2.04,9,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Passes Received,86.60,99,2021-2022,2021 UEFA Euro 2020,397.0
Progressive Passes Rec,2.04,56,2021-2022,2021 UEFA Euro 2020,397.0
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats,2021-2022,2021 UEFA Euro 2020,397.0
Statistic,Per 90,Percentile,2021-2022,2021 UEFA Euro 2020,397.0
Yellow Cards,0.23,39,2021-2022,2021 UEFA Euro 2020,397.0
Red Cards,0.00,51,2021-2022,2021 UEFA Euro 2020,397.0
Second Yellow Card,0.00,50,2021-2022,2021 UEFA Euro 2020,397.0
Fouls Committed,1.81,16,2021-2022,2021 UEFA Euro 2020,397.0
Fouls Drawn,2.49,94,2021-2022,2021 UEFA Euro 2020,397.0
Offsides,0.00,58,2021-2022,2021 UEFA Euro 2020,397.0
Crosses,1.59,74,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Interceptions,1.36,64,2021-2022,2021 UEFA Euro 2020,397.0
Tackles Won,2.04,91,2021-2022,2021 UEFA Euro 2020,397.0
Penalty Kicks Won,0.00,48,2021-2022,2021 UEFA Euro 2020,397.0
Penalty Kicks Conceded,0.00,50,2021-2022,2021 UEFA Euro 2020,397.0
Own Goals,0.00,52,2021-2022,2021 UEFA Euro 2020,397.0
Ball Recoveries,8.39,94,2021-2022,2021 UEFA Euro 2020,397.0
,,,2021-2022,2021 UEFA Euro 2020,397.0
Aerials Won,1.36,79,2021-2022,2021 UEFA Euro 2020,397.0
Aerials Lost,0.45,71,2021-2022,2021 UEFA Euro 2020,397.0
% of Aerials Won,75.0%,86,2021-2022,2021 UEFA Euro 2020,397.0
Goals,0.00,34,2020-2021,2020-2021 Champions League,500.0
Assists,0.36,93,2020-2021,2020-2021 Champions League,500.0
Goals + Assists,0.36,81,2020-2021,2020-2021 Champions League,500.0
Non-Penalty Goals,0.00,35,2020-2021,2020-2021 Champions League,500.0
Penalty Kicks Made,0.00,48,2020-2021,2020-2021 Champions League,500.0
Penalty Kicks Attempted,0.00,48,2020-2021,2020-2021 Champions League,500.0
Yellow Cards,0.54,10,2020-2021,2020-2021 Champions League,500.0
Red Cards,0.00,53,2020-2021,2020-2021 Champions League,500.0
xG: Expected Goals,0.02,13,2020-2021,2020-2021 Champions League,500.0
npxG: Non-Penalty xG,0.02,14,2020-2021,2020-2021 Champions League,500.0
xAG: Exp. Assisted Goals,0.18,79,2020-2021,2020-2021 Champions League,500.0
npxG + xAG,0.20,58,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Progressive Carries,2.52,81,2020-2021,2020-2021 Champions League,500.0
Progressive Passes,6.66,80,2020-2021,2020-2021 Champions League,500.0
Progressive Passes Rec,2.34,64,2020-2021,2020-2021 Champions League,500.0
Shooting,Shooting,Shooting,2020-2021,2020-2021 Champions League,500.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Champions League,500.0
Goals,0.00,34,2020-2021,2020-2021 Champions League,500.0
Shots Total,0.54,23,2020-2021,2020-2021 Champions League,500.0
Shots on Target,0.00,18,2020-2021,2020-2021 Champions League,500.0
Shots on Target %,0.0%,18,2020-2021,2020-2021 Champions League,500.0
Goals/Shot,0.00,35,2020-2021,2020-2021 Champions League,500.0
Average Shot Distance,18.70,67,2020-2021,2020-2021 Champions League,500.0
Shots from Free Kicks,0.00,42,2020-2021,2020-2021 Champions League,500.0
Penalty Kicks Made,0.00,48,2020-2021,2020-2021 Champions League,500.0
Penalty Kicks Attempted,0.00,48,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
xG: Expected Goals,0.02,13,2020-2021,2020-2021 Champions League,500.0
npxG: Non-Penalty xG,0.02,14,2020-2021,2020-2021 Champions League,500.0
npxG/Shot,0.04,26,2020-2021,2020-2021 Champions League,500.0
Goals - xG,-0.02,63,2020-2021,2020-2021 Champions League,500.0
Non-Penalty Goals - npxG,-0.02,63,2020-2021,2020-2021 Champions League,500.0
Passing,Passing,Passing,2020-2021,2020-2021 Champions League,500.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Champions League,500.0
Passes Completed,71.46,90,2020-2021,2020-2021 Champions League,500.0
Passes Attempted,77.76,89,2020-2021,2020-2021 Champions League,500.0
Pass Completion %,91.9%,94,2020-2021,2020-2021 Champions League,500.0
Total Passing Distance,947.70,77,2020-2021,2020-2021 Champions League,500.0
Progressive Passing Distance,267.84,75,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Passes Completed (Short),44.46,98,2020-2021,2020-2021 Champions League,500.0
Passes Attempted (Short),46.44,98,2020-2021,2020-2021 Champions League,500.0
Pass Completion % (Short),95.7%,96,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Passes Completed (Medium),17.46,60,2020-2021,2020-2021 Champions League,500.0
Passes Attempted (Medium),19.08,55,2020-2021,2020-2021 Champions League,500.0
Pass Completion % (Medium),91.5%,72,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Passes Completed (Long),3.78,52,2020-2021,2020-2021 Champions League,500.0
Passes Attempted (Long),4.68,38,2020-2021,2020-2021 Champions League,500.0
Pass Completion % (Long),80.8%,83,2020-2021,2020-2021 Champions League,500.0
Assists,0.36,93,2020-2021,2020-2021 Champions League,500.0
xAG: Exp. Assisted Goals,0.18,79,2020-2021,2020-2021 Champions League,500.0
xA: Expected Assists,0.16,76,2020-2021,2020-2021 Champions League,500.0
Key Passes,1.98,91,2020-2021,2020-2021 Champions League,500.0
Passes into Final Third,4.86,68,2020-2021,2020-2021 Champions League,500.0
Passes into Penalty Area,1.62,89,2020-2021,2020-2021 Champions League,500.0
Crosses into Penalty Area,0.00,31,2020-2021,2020-2021 Champions League,500.0
Progressive Passes,6.66,80,2020-2021,2020-2021 Champions League,500.0
Pass Types,Pass Types,Pass Types,2020-2021,2020-2021 Champions League,500.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Champions League,500.0
Passes Attempted,77.76,89,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Live-ball Passes,72.36,89,2020-2021,2020-2021 Champions League,500.0
Dead-ball Passes,5.22,90,2020-2021,2020-2021 Champions League,500.0
Passes from Free Kicks,2.70,88,2020-2021,2020-2021 Champions League,500.0
Through Balls,0.18,76,2020-2021,2020-2021 Champions League,500.0
Switches,0.18,24,2020-2021,2020-2021 Champions League,500.0
Crosses,0.18,25,2020-2021,2020-2021 Champions League,500.0
Throw-ins Taken,2.16,97,2020-2021,2020-2021 Champions League,500.0
Corner Kicks,0.36,70,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Inswinging Corner Kicks,0.18,78,2020-2021,2020-2021 Champions League,500.0
Outswinging Corner Kicks,0.00,37,2020-2021,2020-2021 Champions League,500.0
Straight Corner Kicks,0.00,48,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Passes Completed,71.46,90,2020-2021,2020-2021 Champions League,500.0
Passes Offside,0.18,47,2020-2021,2020-2021 Champions League,500.0
Passes Blocked,1.08,30,2020-2021,2020-2021 Champions League,500.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2020-2021,2020-2021 Champions League,500.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Champions League,500.0
Shot-Creating Actions,4.14,93,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
SCA (Live-ball Pass),3.24,96,2020-2021,2020-2021 Champions League,500.0
SCA (Dead-ball Pass),0.00,36,2020-2021,2020-2021 Champions League,500.0
SCA (Take-On),0.54,97,2020-2021,2020-2021 Champions League,500.0
SCA (Shot),0.18,68,2020-2021,2020-2021 Champions League,500.0
SCA (Fouls Drawn),0.00,34,2020-2021,2020-2021 Champions League,500.0
SCA (Defensive Action),0.18,94,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Goal-Creating Actions,0.36,73,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
GCA (Live-ball Pass),0.36,82,2020-2021,2020-2021 Champions League,500.0
GCA (Dead-ball Pass),0.00,46,2020-2021,2020-2021 Champions League,500.0
GCA (Take-On),0.00,48,2020-2021,2020-2021 Champions League,500.0
GCA (Shot),0.00,46,2020-2021,2020-2021 Champions League,500.0
GCA (Fouls Drawn),0.00,46,2020-2021,2020-2021 Champions League,500.0
GCA (Defensive Action),0.00,48,2020-2021,2020-2021 Champions League,500.0
Defense,Defense,Defense,2020-2021,2020-2021 Champions League,500.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Champions League,500.0
Tackles,3.78,99,2020-2021,2020-2021 Champions League,500.0
Tackles Won,1.80,86,2020-2021,2020-2021 Champions League,500.0
Tackles (Def 3rd),1.44,91,2020-2021,2020-2021 Champions League,500.0
Tackles (Mid 3rd),1.80,92,2020-2021,2020-2021 Champions League,500.0
Tackles (Att 3rd),0.54,87,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Dribblers Tackled,1.98,97,2020-2021,2020-2021 Champions League,500.0
Dribbles Challenged,4.14,96,2020-2021,2020-2021 Champions League,500.0
% of Dribblers Tackled,47.8%,75,2020-2021,2020-2021 Champions League,500.0
Challenges Lost,2.16,16,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Blocks,0.72,22,2020-2021,2020-2021 Champions League,500.0
Shots Blocked,0.18,49,2020-2021,2020-2021 Champions League,500.0
Passes Blocked,0.54,22,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Interceptions,1.08,31,2020-2021,2020-2021 Champions League,500.0
Tkl+Int,4.86,86,2020-2021,2020-2021 Champions League,500.0
Clearances,0.36,14,2020-2021,2020-2021 Champions League,500.0
Errors,0.00,59,2020-2021,2020-2021 Champions League,500.0
Possession,Possession,Possession,2020-2021,2020-2021 Champions League,500.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Champions League,500.0
Touches,87.66,90,2020-2021,2020-2021 Champions League,500.0
Touches (Def Pen),2.16,53,2020-2021,2020-2021 Champions League,500.0
Touches (Def 3rd),16.56,75,2020-2021,2020-2021 Champions League,500.0
Touches (Mid 3rd),52.74,91,2020-2021,2020-2021 Champions League,500.0
Touches (Att 3rd),19.08,72,2020-2021,2020-2021 Champions League,500.0
Touches (Att Pen),1.98,74,2020-2021,2020-2021 Champions League,500.0
Touches (Live-Ball),87.66,90,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Take-Ons Attempted,3.60,90,2020-2021,2020-2021 Champions League,500.0
Successful Take-Ons,3.06,98,2020-2021,2020-2021 Champions League,500.0
Successful Take-On %,85.0%,71,2020-2021,2020-2021 Champions League,500.0
Times Tackled During Take-On,0.54,42,2020-2021,2020-2021 Champions League,500.0
Tackled During Take-On Percentage,15.0%,71,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Carries,51.30,88,2020-2021,2020-2021 Champions League,500.0
Total Carrying Distance,231.66,81,2020-2021,2020-2021 Champions League,500.0
Progressive Carrying Distance,120.42,84,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Progressive Carries,2.52,81,2020-2021,2020-2021 Champions League,500.0
Carries into Final Third,2.70,90,2020-2021,2020-2021 Champions League,500.0
Carries into Penalty Area,0.54,80,2020-2021,2020-2021 Champions League,500.0
Miscontrols,1.80,23,2020-2021,2020-2021 Champions League,500.0
Dispossessed,1.80,8,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Passes Received,66.24,89,2020-2021,2020-2021 Champions League,500.0
Progressive Passes Rec,2.34,64,2020-2021,2020-2021 Champions League,500.0
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats,2020-2021,2020-2021 Champions League,500.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Champions League,500.0
Yellow Cards,0.54,10,2020-2021,2020-2021 Champions League,500.0
Red Cards,0.00,53,2020-2021,2020-2021 Champions League,500.0
Second Yellow Card,0.00,52,2020-2021,2020-2021 Champions League,500.0
Fouls Committed,1.44,48,2020-2021,2020-2021 Champions League,500.0
Fouls Drawn,2.16,86,2020-2021,2020-2021 Champions League,500.0
Offsides,0.00,65,2020-2021,2020-2021 Champions League,500.0
Crosses,0.18,25,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Interceptions,1.08,31,2020-2021,2020-2021 Champions League,500.0
Tackles Won,1.80,86,2020-2021,2020-2021 Champions League,500.0
Penalty Kicks Won,0.00,48,2020-2021,2020-2021 Champions League,500.0
Penalty Kicks Conceded,0.00,53,2020-2021,2020-2021 Champions League,500.0
Own Goals,0.00,50,2020-2021,2020-2021 Champions League,500.0
Ball Recoveries,6.30,53,2020-2021,2020-2021 Champions League,500.0
,,,2020-2021,2020-2021 Champions League,500.0
Aerials Won,0.54,27,2020-2021,2020-2021 Champions League,500.0
Aerials Lost,1.08,41,2020-2021,2020-2021 Champions League,500.0
% of Aerials Won,33.3%,32,2020-2021,2020-2021 Champions League,500.0
Goals,0.00,15,2020-2021,2020-2021 Ligue 1,1492.0
Assists,0.12,63,2020-2021,2020-2021 Ligue 1,1492.0
Goals + Assists,0.12,38,2020-2021,2020-2021 Ligue 1,1492.0
Non-Penalty Goals,0.00,16,2020-2021,2020-2021 Ligue 1,1492.0
Penalty Kicks Made,0.00,42,2020-2021,2020-2021 Ligue 1,1492.0
Penalty Kicks Attempted,0.00,42,2020-2021,2020-2021 Ligue 1,1492.0
Yellow Cards,0.42,7,2020-2021,2020-2021 Ligue 1,1492.0
Red Cards,0.00,61,2020-2021,2020-2021 Ligue 1,1492.0
xG: Expected Goals,0.08,44,2020-2021,2020-2021 Ligue 1,1492.0
npxG: Non-Penalty xG,0.08,47,2020-2021,2020-2021 Ligue 1,1492.0
xAG: Exp. Assisted Goals,0.14,73,2020-2021,2020-2021 Ligue 1,1492.0
npxG + xAG,0.22,57,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Progressive Carries,2.29,65,2020-2021,2020-2021 Ligue 1,1492.0
Progressive Passes,11.34,99,2020-2021,2020-2021 Ligue 1,1492.0
Progressive Passes Rec,4.04,60,2020-2021,2020-2021 Ligue 1,1492.0
Shooting,Shooting,Shooting,2020-2021,2020-2021 Ligue 1,1492.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Ligue 1,1492.0
Goals,0.00,15,2020-2021,2020-2021 Ligue 1,1492.0
Shots Total,0.60,20,2020-2021,2020-2021 Ligue 1,1492.0
Shots on Target,0.24,40,2020-2021,2020-2021 Ligue 1,1492.0
Shots on Target %,40.0%,85,2020-2021,2020-2021 Ligue 1,1492.0
Goals/Shot,0.00,16,2020-2021,2020-2021 Ligue 1,1492.0
Goals/Shot on Target,0.00,16,2020-2021,2020-2021 Ligue 1,1492.0
Average Shot Distance,16.80,86,2020-2021,2020-2021 Ligue 1,1492.0
Shots from Free Kicks,0.00,30,2020-2021,2020-2021 Ligue 1,1492.0
Penalty Kicks Made,0.00,42,2020-2021,2020-2021 Ligue 1,1492.0
Penalty Kicks Attempted,0.00,42,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
xG: Expected Goals,0.08,44,2020-2021,2020-2021 Ligue 1,1492.0
npxG: Non-Penalty xG,0.08,47,2020-2021,2020-2021 Ligue 1,1492.0
npxG/Shot,0.13,90,2020-2021,2020-2021 Ligue 1,1492.0
Goals - xG,-0.08,10,2020-2021,2020-2021 Ligue 1,1492.0
Non-Penalty Goals - npxG,-0.08,10,2020-2021,2020-2021 Ligue 1,1492.0
Passing,Passing,Passing,2020-2021,2020-2021 Ligue 1,1492.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Ligue 1,1492.0
Passes Completed,98.45,99,2020-2021,2020-2021 Ligue 1,1492.0
Passes Attempted,108.10,99,2020-2021,2020-2021 Ligue 1,1492.0
Pass Completion %,91.1%,97,2020-2021,2020-2021 Ligue 1,1492.0
Total Passing Distance,1396.09,99,2020-2021,2020-2021 Ligue 1,1492.0
Progressive Passing Distance,436.91,99,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Passes Completed (Short),56.22,99,2020-2021,2020-2021 Ligue 1,1492.0
Passes Attempted (Short),59.12,99,2020-2021,2020-2021 Ligue 1,1492.0
Pass Completion % (Short),95.1%,99,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Passes Completed (Medium),30.82,97,2020-2021,2020-2021 Ligue 1,1492.0
Passes Attempted (Medium),33.36,97,2020-2021,2020-2021 Ligue 1,1492.0
Pass Completion % (Medium),92.4%,97,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Passes Completed (Long),5.49,82,2020-2021,2020-2021 Ligue 1,1492.0
Passes Attempted (Long),7.90,77,2020-2021,2020-2021 Ligue 1,1492.0
Pass Completion % (Long),69.5%,70,2020-2021,2020-2021 Ligue 1,1492.0
Assists,0.12,63,2020-2021,2020-2021 Ligue 1,1492.0
xAG: Exp. Assisted Goals,0.14,73,2020-2021,2020-2021 Ligue 1,1492.0
xA: Expected Assists,0.17,85,2020-2021,2020-2021 Ligue 1,1492.0
Key Passes,1.45,73,2020-2021,2020-2021 Ligue 1,1492.0
Passes into Final Third,10.44,98,2020-2021,2020-2021 Ligue 1,1492.0
Passes into Penalty Area,1.99,99,2020-2021,2020-2021 Ligue 1,1492.0
Crosses into Penalty Area,0.06,33,2020-2021,2020-2021 Ligue 1,1492.0
Progressive Passes,11.34,99,2020-2021,2020-2021 Ligue 1,1492.0
Pass Types,Pass Types,Pass Types,2020-2021,2020-2021 Ligue 1,1492.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Ligue 1,1492.0
Passes Attempted,108.10,99,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Live-ball Passes,104.18,99,2020-2021,2020-2021 Ligue 1,1492.0
Dead-ball Passes,3.74,80,2020-2021,2020-2021 Ligue 1,1492.0
Passes from Free Kicks,2.96,98,2020-2021,2020-2021 Ligue 1,1492.0
Through Balls,0.18,84,2020-2021,2020-2021 Ligue 1,1492.0
Switches,0.30,39,2020-2021,2020-2021 Ligue 1,1492.0
Crosses,0.66,35,2020-2021,2020-2021 Ligue 1,1492.0
Throw-ins Taken,0.78,95,2020-2021,2020-2021 Ligue 1,1492.0
Corner Kicks,0.00,19,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Inswinging Corner Kicks,0.00,23,2020-2021,2020-2021 Ligue 1,1492.0
Outswinging Corner Kicks,0.00,25,2020-2021,2020-2021 Ligue 1,1492.0
Straight Corner Kicks,0.00,45,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Passes Completed,98.45,99,2020-2021,2020-2021 Ligue 1,1492.0
Passes Offside,0.18,32,2020-2021,2020-2021 Ligue 1,1492.0
Passes Blocked,0.84,45,2020-2021,2020-2021 Ligue 1,1492.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2020-2021,2020-2021 Ligue 1,1492.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Ligue 1,1492.0
Shot-Creating Actions,3.38,77,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
SCA (Live-ball Pass),2.84,93,2020-2021,2020-2021 Ligue 1,1492.0
SCA (Dead-ball Pass),0.06,49,2020-2021,2020-2021 Ligue 1,1492.0
SCA (Take-On),0.18,64,2020-2021,2020-2021 Ligue 1,1492.0
SCA (Shot),0.18,72,2020-2021,2020-2021 Ligue 1,1492.0
SCA (Fouls Drawn),0.06,30,2020-2021,2020-2021 Ligue 1,1492.0
SCA (Defensive Action),0.06,67,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Goal-Creating Actions,0.42,81,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
GCA (Live-ball Pass),0.30,84,2020-2021,2020-2021 Ligue 1,1492.0
GCA (Dead-ball Pass),0.00,36,2020-2021,2020-2021 Ligue 1,1492.0
GCA (Take-On),0.00,38,2020-2021,2020-2021 Ligue 1,1492.0
GCA (Shot),0.12,97,2020-2021,2020-2021 Ligue 1,1492.0
GCA (Fouls Drawn),0.00,33,2020-2021,2020-2021 Ligue 1,1492.0
GCA (Defensive Action),0.00,46,2020-2021,2020-2021 Ligue 1,1492.0
Defense,Defense,Defense,2020-2021,2020-2021 Ligue 1,1492.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Ligue 1,1492.0
Tackles,3.20,87,2020-2021,2020-2021 Ligue 1,1492.0
Tackles Won,1.81,88,2020-2021,2020-2021 Ligue 1,1492.0
Tackles (Def 3rd),1.03,66,2020-2021,2020-2021 Ligue 1,1492.0
Tackles (Mid 3rd),1.51,86,2020-2021,2020-2021 Ligue 1,1492.0
Tackles (Att 3rd),0.66,98,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Dribblers Tackled,1.45,90,2020-2021,2020-2021 Ligue 1,1492.0
Dribbles Challenged,4.34,97,2020-2021,2020-2021 Ligue 1,1492.0
% of Dribblers Tackled,33.3%,38,2020-2021,2020-2021 Ligue 1,1492.0
Challenges Lost,2.90,3,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Blocks,1.33,83,2020-2021,2020-2021 Ligue 1,1492.0
Shots Blocked,0.30,83,2020-2021,2020-2021 Ligue 1,1492.0
Passes Blocked,1.03,72,2020-2021,2020-2021 Ligue 1,1492.0
,,,2020-2021,2020-2021 Ligue 1,1492.0
Interceptions,1.57,76,2020-2021,2020-2021 Ligue 1,1492.0
Tkl+Int,4.77,89,2020-2021,2020-2021 Ligue 1,1492.0
Clearances,0.24,7,2020-2021,2020-2021 Ligue 1,1492.0
Errors,0.06,17,2020-2021,2020-2021 Ligue 1,1492.0
Possession,Possession,Possession,2020-2021,2020-2021 Ligue 1,1492.0
Statistic,Per 90,Percentile,2020-2021,2020-2021 Ligue 1,1492.0
Touches,119.32,99,2020-2021,2020-2021 Ligue 1,1492.0
Touches (Def Pen),1.81,63,2020-2021,2020-2021 Ligue 1,1492.0
Touches (Def 3rd),14.78,76,2020-2021,2020-2021 Ligue 1,1492.0
Touches (Mid 3rd),77.39,99,2020-2021,2020-2021 Ligue 1,1492.0
