Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Tackles (Mid 3rd),0.84,43,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Tackles (Att 3rd),0.20,31,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Dribblers Tackled,0.84,41,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Dribbles Challenged,1.81,49,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
% of Dribblers Tackled,46.6%,34,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Challenges Lost,0.97,41,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Blocks,0.84,18,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Shots Blocked,0.20,28,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Blocked,0.65,23,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Interceptions,0.89,43,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Tkl+Int,2.38,22,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Clearances,1.17,26,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Errors,0.10,27,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Possession,Possession,Possession,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Statistic,Per 90,Percentile,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Touches,112.22,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Touches (Def Pen),2.61,56,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Touches (Def 3rd),15.74,76,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Touches (Mid 3rd),71.55,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Touches (Att 3rd),25.62,95,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Touches (Att Pen),1.02,41,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Touches (Live-Ball),112.15,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Take-Ons Attempted,1.81,76,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Successful Take-Ons,1.22,92,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Successful Take-On %,67.1%,95,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Times Tackled During Take-On,0.50,52,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Tackled During Take-On Percentage,27.4%,89,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Carries,75.05,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Total Carrying Distance,385.60,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Carrying Distance,183.77,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Carries,2.28,89,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Carries into Final Third,2.71,97,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Carries into Penalty Area,0.27,75,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Miscontrols,1.04,61,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Dispossessed,0.74,56,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Received,92.11,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Passes Rec,1.81,51,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Miscellaneous Stats,Miscellaneous Stats,Miscellaneous Stats,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Statistic,Per 90,Percentile,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Yellow Cards,0.02,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Red Cards,0.00,60,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Second Yellow Card,0.00,55,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Fouls Committed,0.32,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Fouls Drawn,0.72,19,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Offsides,0.00,77,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Crosses,1.09,62,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Interceptions,0.89,43,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Tackles Won,0.87,19,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Penalty Kicks Won,0.00,41,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Penalty Kicks Conceded,0.00,63,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Own Goals,0.00,52,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Ball Recoveries,6.21,91,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Aerials Won,0.05,1,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Aerials Lost,0.25,97,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
% of Aerials Won,16.7%,2,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goals,0.19,98,2025-2026,2025-2026 Ligue 1,472.0
Assists,0.57,98,2025-2026,2025-2026 Ligue 1,472.0
Goals + Assists,0.76,98,2025-2026,2025-2026 Ligue 1,472.0
Non-Penalty Goals,0.19,98,2025-2026,2025-2026 Ligue 1,472.0
Penalty Kicks Made,0.00,50,2025-2026,2025-2026 Ligue 1,472.0
Penalty Kicks Attempted,0.00,48,2025-2026,2025-2026 Ligue 1,472.0
Yellow Cards,0.00,84,2025-2026,2025-2026 Ligue 1,472.0
Red Cards,0.00,54,2025-2026,2025-2026 Ligue 1,472.0
xG: Expected Goals,0.08,59,2025-2026,2025-2026 Ligue 1,472.0
npxG: Non-Penalty xG,0.08,63,2025-2026,2025-2026 Ligue 1,472.0
xAG: Exp. Assisted Goals,0.13,77,2025-2026,2025-2026 Ligue 1,472.0
npxG + xAG,0.21,70,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Progressive Carries,4.00,98,2025-2026,2025-2026 Ligue 1,472.0
Progressive Passes,11.82,98,2025-2026,2025-2026 Ligue 1,472.0
Progressive Passes Rec,1.33,38,2025-2026,2025-2026 Ligue 1,472.0
Shooting,Shooting,Shooting,2025-2026,2025-2026 Ligue 1,472.0
Statistic,Per 90,Percentile,2025-2026,2025-2026 Ligue 1,472.0
Goals,0.19,98,2025-2026,2025-2026 Ligue 1,472.0
Shots Total,2.48,98,2025-2026,2025-2026 Ligue 1,472.0
Shots on Target,0.95,98,2025-2026,2025-2026 Ligue 1,472.0
Shots on Target %,38.5%,84,2025-2026,2025-2026 Ligue 1,472.0
Goals/Shot,0.08,71,2025-2026,2025-2026 Ligue 1,472.0
Goals/Shot on Target,0.20,59,2025-2026,2025-2026 Ligue 1,472.0
Average Shot Distance,27.90,2,2025-2026,2025-2026 Ligue 1,472.0
Shots from Free Kicks,0.19,98,2025-2026,2025-2026 Ligue 1,472.0
Penalty Kicks Made,0.00,50,2025-2026,2025-2026 Ligue 1,472.0
Penalty Kicks Attempted,0.00,48,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
xG: Expected Goals,0.08,59,2025-2026,2025-2026 Ligue 1,472.0
npxG: Non-Penalty xG,0.08,63,2025-2026,2025-2026 Ligue 1,472.0
npxG/Shot,0.03,9,2025-2026,2025-2026 Ligue 1,472.0
Goals - xG,+0.11,95,2025-2026,2025-2026 Ligue 1,472.0
Non-Penalty Goals - npxG,+0.11,95,2025-2026,2025-2026 Ligue 1,472.0
Passing,Passing,Passing,2025-2026,2025-2026 Ligue 1,472.0
Statistic,Per 90,Percentile,2025-2026,2025-2026 Ligue 1,472.0
Passes Completed,125.28,98,2025-2026,2025-2026 Ligue 1,472.0
Passes Attempted,133.86,98,2025-2026,2025-2026 Ligue 1,472.0
Pass Completion %,93.6%,98,2025-2026,2025-2026 Ligue 1,472.0
Total Passing Distance,2224.26,98,2025-2026,2025-2026 Ligue 1,472.0
Progressive Passing Distance,566.89,98,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Passes Completed (Short),55.49,98,2025-2026,2025-2026 Ligue 1,472.0
Passes Attempted (Short),56.44,98,2025-2026,2025-2026 Ligue 1,472.0
Pass Completion % (Short),98.3%,98,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Passes Completed (Medium),55.68,98,2025-2026,2025-2026 Ligue 1,472.0
Passes Attempted (Medium),58.92,98,2025-2026,2025-2026 Ligue 1,472.0
Pass Completion % (Medium),94.5%,98,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Passes Completed (Long),11.82,98,2025-2026,2025-2026 Ligue 1,472.0
Passes Attempted (Long),14.49,98,2025-2026,2025-2026 Ligue 1,472.0
Pass Completion % (Long),81.6%,95,2025-2026,2025-2026 Ligue 1,472.0
Assists,0.57,98,2025-2026,2025-2026 Ligue 1,472.0
xAG: Exp. Assisted Goals,0.13,77,2025-2026,2025-2026 Ligue 1,472.0
xA: Expected Assists,0.27,95,2025-2026,2025-2026 Ligue 1,472.0
Key Passes,2.10,91,2025-2026,2025-2026 Ligue 1,472.0
Passes into Final Third,15.83,98,2025-2026,2025-2026 Ligue 1,472.0
Passes into Penalty Area,1.91,91,2025-2026,2025-2026 Ligue 1,472.0
Crosses into Penalty Area,0.19,73,2025-2026,2025-2026 Ligue 1,472.0
Progressive Passes,11.82,98,2025-2026,2025-2026 Ligue 1,472.0
Pass Types,Pass Types,Pass Types,2025-2026,2025-2026 Ligue 1,472.0
Statistic,Per 90,Percentile,2025-2026,2025-2026 Ligue 1,472.0
Passes Attempted,133.86,98,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Live-ball Passes,128.52,98,2025-2026,2025-2026 Ligue 1,472.0
Dead-ball Passes,5.15,84,2025-2026,2025-2026 Ligue 1,472.0
Passes from Free Kicks,3.24,91,2025-2026,2025-2026 Ligue 1,472.0
Through Balls,0.38,80,2025-2026,2025-2026 Ligue 1,472.0
Switches,0.57,84,2025-2026,2025-2026 Ligue 1,472.0
Crosses,1.53,66,2025-2026,2025-2026 Ligue 1,472.0
Throw-ins Taken,0.76,91,2025-2026,2025-2026 Ligue 1,472.0
Corner Kicks,0.19,70,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Inswinging Corner Kicks,0.19,70,2025-2026,2025-2026 Ligue 1,472.0
Outswinging Corner Kicks,0.00,38,2025-2026,2025-2026 Ligue 1,472.0
Straight Corner Kicks,0.00,48,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Passes Completed,125.28,98,2025-2026,2025-2026 Ligue 1,472.0
Passes Offside,0.19,34,2025-2026,2025-2026 Ligue 1,472.0
Passes Blocked,0.76,59,2025-2026,2025-2026 Ligue 1,472.0
Goal and Shot Creation,Goal and Shot Creation,Goal and Shot Creation,2025-2026,2025-2026 Ligue 1,472.0
Statistic,Per 90,Percentile,2025-2026,2025-2026 Ligue 1,472.0
Shot-Creating Actions,4.39,91,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
SCA (Live-ball Pass),3.62,95,2025-2026,2025-2026 Ligue 1,472.0
SCA (Dead-ball Pass),0.38,77,2025-2026,2025-2026 Ligue 1,472.0
SCA (Take-On),0.00,27,2025-2026,2025-2026 Ligue 1,472.0
SCA (Shot),0.00,16,2025-2026,2025-2026 Ligue 1,472.0
SCA (Fouls Drawn),0.19,84,2025-2026,2025-2026 Ligue 1,472.0
SCA (Defensive Action),0.19,95,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Goal-Creating Actions,0.95,98,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
GCA (Live-ball Pass),0.76,98,2025-2026,2025-2026 Ligue 1,472.0
GCA (Dead-ball Pass),0.00,46,2025-2026,2025-2026 Ligue 1,472.0
GCA (Take-On),0.00,46,2025-2026,2025-2026 Ligue 1,472.0
GCA (Shot),0.00,43,2025-2026,2025-2026 Ligue 1,472.0
GCA (Fouls Drawn),0.00,46,2025-2026,2025-2026 Ligue 1,472.0
GCA (Defensive Action),0.19,98,2025-2026,2025-2026 Ligue 1,472.0
Defense,Defense,Defense,2025-2026,2025-2026 Ligue 1,472.0
Statistic,Per 90,Percentile,2025-2026,2025-2026 Ligue 1,472.0
Tackles,0.95,13,2025-2026,2025-2026 Ligue 1,472.0
Tackles Won,0.76,16,2025-2026,2025-2026 Ligue 1,472.0
Tackles (Def 3rd),0.38,13,2025-2026,2025-2026 Ligue 1,472.0
Tackles (Mid 3rd),0.19,9,2025-2026,2025-2026 Ligue 1,472.0
Tackles (Att 3rd),0.38,73,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Dribblers Tackled,0.57,27,2025-2026,2025-2026 Ligue 1,472.0
Dribbles Challenged,1.53,41,2025-2026,2025-2026 Ligue 1,472.0
% of Dribblers Tackled,37.5%,14,2025-2026,2025-2026 Ligue 1,472.0
Challenges Lost,0.95,30,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Blocks,0.57,16,2025-2026,2025-2026 Ligue 1,472.0
Shots Blocked,0.19,48,2025-2026,2025-2026 Ligue 1,472.0
Passes Blocked,0.38,16,2025-2026,2025-2026 Ligue 1,472.0
,,,2025-2026,2025-2026 Ligue 1,472.0
Interceptions,0.57,27,2025-2026,2025-2026 Ligue 1,472.0
Tkl+Int,1.53,16,2025-2026,2025-2026 Ligue 1,472.0
Clearances,0.95,23,2025-2026,2025-2026 Ligue 1,472.0
Errors,0.00,66,2025-2026,2025-2026 Ligue 1,472.0
Possession,Possession,Possession,2025-2026,2025-2026 Ligue 1,472.0
